w,h,angle
267.2008406612344,190.2260258418844,1.525996829824827
267.38866791801416,194.4158403831488,1.535246755085564
267.5379780754472,198.6141259589152,1.54377445576084
267.6516621496399,202.82021526706362,1.5515856189603936
267.7326111566983,207.0334410054738,1.5586858640210013
267.7837161127286,211.25313587202575,1.565080629953259
267.80786803383717,215.47863256459937,1.57077507646874
267.8079579361304,219.70926378107467,1.5757739977068772
267.78687683571434,223.94436221933142,1.580081747784977
267.7475157486953,228.1832605772496,1.5837021773314996
267.6927656911796,232.42529155270915,1.586638580222072
267.62551767927334,236.66978784358992,1.5888936498177453
267.54866272908293,240.91608214777182,1.5904694440993221
267.4650918567145,245.1635071631349,1.59136735919517
267.3776960782744,249.411395587559,1.5915881109144354
267.28936640986876,253.65908011892392,1.5911317240133533
267.20299386760405,257.9058934551098,1.5899975290473434
267.1214694675862,262.15116829399625,1.5881841667819299
267.0476842259218,266.39423733346354,1.5856896002647263
266.9845291587169,270.63443327139134,1.5825111347811955
266.93489528207783,274.87108880565967,1.5786454460428772
266.9016736121107,279.1035366341483,1.5740886170737944
266.88775516492194,283.3311094547374,1.568836184376197
266.8960309566177,287.5531399653066,1.562883194060586
266.9293920033043,291.7689608637361,1.5562242687210106
266.9907293210879,295.9779048479055,1.5488536859136366
267.0829339260748,300.17930461569506,1.5407654691557005
267.2088968343713,304.3724928649844,1.5319534923915614
267.3715090620836,308.5568022936536,1.5224388853167907
267.57354989369964,312.73161622003556,1.5125889886224886
267.816280328344,316.89700582767324,1.5026752832750736
268.09986645543853,321.0535383532955,1.4927095612517731
268.4244501548583,325.2017920018628,1.4826978298333782
268.790173306478,329.34234497833535,1.4726462089234988
269.197177790173,333.47577548767384,1.4625609154151182
269.64560548581784,337.6026617348384,1.4524482469325457
270.1355982732878,341.7235819247895,1.4423145650518157
270.66729803245767,345.8391142624874,1.4321662781039566
271.2408466432025,349.9498369528925,1.4220098236751513
271.856385985397,354.0563282009652,1.4118516509178924
272.51405793891655,358.15916621166605,1.4017143513884065
273.21393632682305,362.258929647949,1.3925816542811513
273.9519644378152,366.3562249695334,1.3859698094103703
274.717655987082,370.4517019044736,1.3819989832774078
275.4999684115742,374.5460139243431,1.3806616670261025
276.2878591482424,378.63981450071594,1.3819554698845031
277.0702856340371,382.73375710516547,1.3858833865039313
277.836205305909,386.82849520926555,1.3924535427605056
278.5745756008087,390.92468228458984,1.4016784122420403
279.2743539556869,395.022971802712,1.4132101414508942
279.9259859814473,399.12376904013934,1.4247125023311469
280.52953677729664,403.2258749518318,1.435255682564427
281.0888968274956,407.3274525016769,1.4448399663405793
281.60796638700396,411.4266630240208,1.4534674242716341
282.090645710782,415.5216678532106,1.4611392542704096
282.54083505378964,419.6106283235928,1.4678555308108479
282.96243467098697,423.6917057695139,1.4736124354260192
283.3593577437381,427.7630870658637,1.4783188883578564
283.7359592152674,431.82383193954274,1.4818575832402905
284.09713502987273,435.8740690505508,1.484209948863588
284.44781416196116,439.913992321194,1.485365007870477
284.7929255859399,443.9437956737775,1.4853128205284551
285.13739827621623,447.96367303060754,1.4840448589005553
285.4861596480856,451.9738187522348,1.4820676912284274
285.84211325727546,455.9749960785995,1.4809063621216347
286.20216325289624,459.9696546012182,1.480848497274009
286.5621073212866,463.96055492323893,1.4818973008470264
286.91774314878523,467.9504576478096,1.4840520443137333
287.26486842173074,471.9421233780784,1.4873080256672462
287.5992808264616,475.93831271719307,1.491656628732351
287.91677763081555,479.9417862958519,1.497308329430386
288.2122595083053,483.95536376752966,1.5049377753705149
288.4778352128373,487.9820485776856,1.514648162066445
288.7050716153503,492.0248798439178,1.5263983375175725
288.8855355867824,496.08689668382476,1.5401372286339845
289.01079399807236,500.17113821500465,1.5558030126224778
289.07241372015847,504.28064355505586,1.573322319609319
289.0619616239794,508.4184518215767,1.5926095525066775
288.9710045804736,512.5876021321654,1.6135664154272762
